title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
马自达3 2010款 1.6L 手动经典时尚型,长安马自达,2011-03,6.08,手动,1.6L,3.69,12.20,广州,2010款,紧凑型,0,107马力,汽油,4515,1745,1465,,前置前驱
三菱 劲炫ASX 2013款 2.0L CVT两驱精英版,广汽三菱,2015-12,3.53,自动,2.0L,8.81,15.20,广州,2013款,紧凑型,1,167马力,汽油,4295,1770,1615,,前置前驱
马自达6 2011款 2.0L 自动时尚型,一汽马自达,2011-08,8.16,自动,2.0L,6.60,19.50,广州,2011款,中型,0,146马力,汽油,4670,1780,1435,,前置前驱
日产 逍客 2011款 1.6XE 风 5MT 2WD,东风日产,2011-12,8.05,手动,1.6L,4.64,5.45,广州,2011款,紧凑型,1,121马力,汽油,4315,1783,1606,,前置前驱
宝马X1 2012款 sDrive18i 时尚型,华晨宝马,2012-07,9.19,自动,2.0L,11.19,11.61,广州,2012款,紧凑型,1,150马力,汽油,4469,1798,1583,,前置后驱
大众 朗逸 2011款 1.6L 手动品悠版,上汽大众,2012-09,11.18,手动,1.6L,4.35,12.20,广州,2011款,紧凑型,0,105马力,汽油,4608,1743,1465,,前置前驱
比亚迪G6 2011款 2.0L 手动尊贵型,比亚迪,2012-03,2.11,手动,2.0L,3.00,9.60,广州,2011款,中型,0,140马力,汽油,4860,1825,1463,,前置前驱
日产 天籁 2013款 2.0L XL舒适版,东风日产,2015-07,11.21,自动,2.0L,10.89,20.20,广州,2013款,中型,0,141马力,汽油,4868,1830,1490,,前置前驱
大众 尚酷 2011款 1.4TSI 舒适版(进口),大众(进口),2011-07,10.3,自动,1.4,10.63,29.50,广州,2011款,跑,0,160马力,汽油,4248,1810,1410,,前置前驱
Jeep 自由侠 2016款 1.4T 自动高能版,广汽菲克Jeep,2016-12,2.44,自动,1.4T,9.92,16.30,广州,2016款,小型,1,150马力,汽油,4245,1805,1695,,前置前驱
奥迪A6L 2011款 2.0 TFSI 自动标准型,一汽-大众奥迪,2011-06,13.21,自动,2.0T,13.08,42.30,广州,2011款,中大型,0,170马力,汽油,5035,1855,1485,,前置前驱
宝马3系GT 2014款 320i 领先型(进口),宝马(进口),2015-06,8.38,自动,2.0T,22.70,48.30,广州,2014款,中型,0,184马力,汽油,4824,1828,1518,,前置后驱
奔驰S级 2010款 S 300 L 商务型(进口),奔驰(进口),2012-09,9.68,自动,3.0L,32.74,100.90,广州,2010款,大型,0,231马力,汽油,5230,1871,1485,,前置后驱
荣威550 2012款 550 1.8L 自动超值版,上汽集团,2013-01,3.68,自动,1.8L,4.24,4.29,广州,2012款,紧凑型,0,133马力,汽油,4624,1827,1480,,前置前驱
捷豹XJ 2012款 XJL 3.0 全景商务版,捷豹,2012-08,5.64,自动,3.0L,31.50,105.10,广州,2012款,大型,0,238马力,汽油,5252,1899,1457,,前置后驱
本田 缤智 2015款 1.5L CVT两驱舒适型,广汽本田,2017-06,3.05,自动,1.5L,10.50,10.55,广州,2015款,小型,1,131马力,汽油,4294,1772,1605,,前置前驱
现代 朗动 2015款 1.6L 自动时尚型,北京现代,2015-08,6.62,自动,1.6L,6.46,12.60,广州,2015款,紧凑型,0,128马力,汽油,4570,1775,1445,,前置前驱
长安CS75 2016款 1.8T 自动精英型 国V,长安汽车,2017-01,5.58,自动,1.8T,7.22,7.46,广州,2016款,紧凑型,1,177马力,汽油,4650,1850,1705,,前置前驱
雪铁龙C3-XR 2015款 1.6L 自动时尚型,东风雪铁龙,2017-12,1.81,自动,1.6L,6.00,12.90,广州,2015款,小型,1,117马力,汽油,4262,1748,1557,,前置前驱
大众 夏朗 2012款 2.0TSI 标配型 欧IV(进口),大众(进口),2012-08,6.27,自动,2.0T,12.39,34.10,广州,2012款,MPV,0,200马力,汽油,4854,1904,1740,,前置前驱
MG 锐行 2016款 1.5T 自动超值豪华版,上汽集团,2018-08,1.71,自动,1.5T,6.25,10.80,广州,2016款,紧凑型,0,129马力,汽油,4612,1804,1488,,前置前驱
别克 君越 2012款 2.4L SIDI豪雅版,上汽通用别克,2013-05,12.13,自动,2.4L,8.14,8.35,广州,2012款,中型,0,186马力,汽油,5000,1858,1497,,前置前驱
Jeep 自由光 2017款 2.4L 领先版智能包,广汽菲克Jeep,2017-06,2.52,自动,2.4L,14.70,15.13,广州,2017款,中型,1,175马力,汽油,4649,1859,1686,,前置前驱
奔驰E级 2015款 改款 E 200 L 运动型,北京奔驰,2016-02,7.02,自动,2.0T,28.12,46.60,广州,2015款,中大型,0,184马力,汽油,5024,1854,1477,,前置后驱
本田CR-V 2015款 2.4L 两驱豪华版,东风本田,2016-01,12.15,自动,2.4L,14.70,15.17,广州,2015款,紧凑型,1,186马力,汽油,4585,1820,1685,,前置前驱
本田 雅阁 2011款 2.4L EX,广汽本田,2011-03,4.4,自动,2.4L,10.62,24.90,广州,2011款,中型,0,179马力,汽油,4960,1845,1480,,前置前驱
丰田 威驰 2013款 特装版 1.6L GL-i型尚天窗版 AT,一汽丰田,2013-06,5.86,自动,1.6L,4.90,11.70,广州,2013款,小型,0,118马力,汽油,4300,1690,1490,,前置前驱
大众 朗行 2015款 1.6L 自动舒适版,上汽大众,2016-04,2.55,自动,1.6L,8.40,15.20,广州,2015款,紧凑型,0,110马力,汽油,4445,1765,1485,,前置前驱
哈弗H6 2013款 运动版 1.5T 手动两驱精英型,长城汽车,2014-09,7.33,手动,1.5T,5.52,5.75,广州,2013款,紧凑型,1,150马力,汽油,4649,1852,1727,,前置前驱
长安CS35 2014款 1.6L 自动豪华型 国IV,长安汽车,2014-03,6.53,自动,1.6L,3.99,4.04,广州,2014款,小型,1,125马力,汽油,4160,1810,1670,,前置前驱
大众 迈腾 2015款 1.8TSI 领先型,一汽-大众,2015-12,5.97,自动,1.8T,12.87,13.32,广州,2015款,中型,0,160马力,汽油,4865,1820,1475,,前置前驱
现代 名图 2016款 1.8L 自动尊贵型DLX,北京现代,2016-11,3.05,自动,1.8L,10.13,10.58,广州,2016款,中型,0,143马力,汽油,4710,1820,1470,,前置前驱
日产 颐达 2008款 1.6L 自动智能型,东风日产,2009-10,13.78,自动,1.6L,3.57,3.72,广州,2008款,紧凑型,0,109马力,汽油,4480,1695,1535,,前置前驱
福特 锐界 2015款 2.0T GTDi 两驱豪锐型,长安福特,2015-08,6.83,自动,2.0T,17.46,18.06,广州,2015款,中型,1,245马力,汽油,4878,1925,1770,,前置前驱
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,上汽通用雪佛兰,2016-07,6.04,自动,2.4L,11.54,22.80,广州,2015款,中型,1,167马力,汽油,4690,1868,1756,,前置四驱
奇瑞 瑞虎7 2016款 2.0L CVT耀目版,奇瑞汽车,2017-05,1.6,自动,2.0L,6.85,12.60,广州,2016款,紧凑型,1,122马力,汽油,4505,1837,1670,,前置前驱
哈弗H2 2016款 红标 1.5T 手动两驱精英型,长城汽车,2015-10,4.96,手动,1.5T,5.04,5.23,广州,2016款,小型,1,150马力,汽油,4335,1814,1695,,前置前驱
长城C30 2016款 1.5L AMT豪华型,长城汽车,2016-09,2.21,自动,1.5L,3.82,3.93,广州,2016款,紧凑型,0,106马力,汽油,4471,1705,1480,,前置前驱
福特 福克斯 2012款 三厢 1.6L 自动舒适型,长安福特,2015-03,9.89,自动,1.6L,5.66,6.65,广州,2012款,紧凑型,0,125马力,汽油,4534,1823,1483,,前置前驱
起亚 智跑 2014款 2.0L 自动两驱版DLX,东风悦达起亚,2014-03,3.46,自动,2.0L,8.61,8.99,广州,2014款,紧凑型,1,165马力,汽油,4440,1855,1660,,前置前驱
别克 凯越 2013款 1.5L 自动经典型,上汽通用别克,2015-05,10.02,自动,1.5L,4.23,4.32,广州,2013款,紧凑型,0,113马力,汽油,4515,1725,1445,,前置前驱
本田 雅阁 2016款 2.0L 精英版,广汽本田,2017-01,4.27,自动,2.0L,14.91,15.43,广州,2016款,中型,0,155马力,汽油,4915,1845,1470,,前置前驱
Smart smart fortwo 2012款 1.0 MHD 硬顶舒适版,smart,2014-06,6.12,自动,1.0L,5.32,13.90,广州,2012款,微型,0,70马力,汽油,2695,1559,1565,,后置后驱
起亚K3 2015款 1.6L 自动GLS,东风悦达起亚,2016-05,6.6,自动,1.6L,6.85,13.50,广州,2015款,紧凑型,0,128马力,汽油,4600,1780,1445,,前置前驱
吉利 帝豪GL 2018款 1.4T 自动尊贵智联型,吉利汽车,2018-04,1.09,自动,1.4T,9.00,11.90,广州,2018款,紧凑型,0,133马力,汽油,4725,1802,1478,,前置前驱
丰田 RAV4 2015款 2.5L 自动四驱精英版,一汽丰田,2015-08,3.18,自动,2.5L,15.25,26.00,广州,2015款,紧凑型,1,180马力,汽油,4570,1845,1670,,前置四驱
Smart smart fortwo 2014款 1.0 MHD 硬顶城市光波激情版,smart,2015-05,5.05,自动,1.0L,5.46,5.68,广州,2014款,微型,0,70马力,汽油,2695,1559,1565,,后置后驱
日产 轩逸 2012款 经典 1.6XE 自动舒适版,东风日产,2015-03,8.22,自动,1.6L,7.30,11.90,广州,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
传祺GA3S新能源 2017款 1.5L 精英版,广汽新能源,2017-12,2.32,自动,1.5L,7.64,7.74,广州,2017款,紧凑型,0,97马力,插电式混合动力,4600,1790,1530,,前置前驱
别克 君越 2012款 2.4L SIDI舒适版,上汽通用别克,2012-09,8.48,自动,2.4L,9.11,24.60,广州,2012款,中型,0,186马力,汽油,5000,1858,1497,,前置前驱
现代 瑞纳 2014款 1.4L 自动智能型GLS,北京现代,2015-08,5.02,自动,1.4L,4.70,4.86,广州,2014款,小型,0,107马力,汽油,4375,1700,1460,,前置前驱
马自达CX-5 2015款 2.0L 自动四驱豪华型,长安马自达,2015-10,9.31,自动,2.0L,11.72,22.80,广州,2015款,紧凑型,1,155马力,汽油,4555,1840,1710,,前置四驱
