title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
宝沃汽车 宝沃BX7 2016款 28T 两驱精英版 5座,宝沃汽车,2017-09,4.46,自动,2.0T,12.26,20.10,北京,2016款,中型,1,224马力,汽油,4715,1911,1690,,前置前驱
本田 缤智 2015款 1.8L CVT两驱豪华型,广汽本田,2015-06,7.21,自动,1.8L,9.70,10.1,北京,2015款,小型,1,136马力,汽油,4294,1772,1605,,前置前驱
大众 高尔夫 2015款 1.6L 自动舒适型,一汽-大众,2015-11,3.51,自动,1.6L,8.56,15.70,北京,2015款,紧凑型,0,110马力,汽油,4255,1799,1452,,前置前驱
奥迪A6L 2014款 TFSI 舒适型,一汽-大众奥迪,2015-09,12.31,自动,2.0T,23.88,48.50,北京,2014款,中大型,0,180马力,汽油,5015,1874,1455,,前置前驱
三菱 翼神 2016款 1.8L 手动黑白复刻版,东南汽车,2017-11,2.27,手动,1.8L,7.17,12.00,北京,2016款,紧凑型,0,136马力,汽油,4570,1760,1490,,前置前驱
奔驰E级 2011款 E 200 L CGI优雅型,北京奔驰,2011-11,7.34,自动,1.8T,16.49,50.50,北京,2011款,中大型,0,184马力,汽油,5012,1855,1464,,前置后驱
福特 翼虎 2013款 1.6L GTDi 四驱精英型,长安福特,2013-05,6.86,自动,1.6T,10.00,10.24,北京,2013款,紧凑型,1,177马力,汽油,4524,1838,1695,,前置四驱
斯巴鲁XV 2012款 2.0i 舒适版,斯巴鲁,2012-03,12.95,自动,2.0L,8.20,21.70,北京,2012款,紧凑型,1,150马力,汽油,4450,1780,1615,,前置四驱
奔驰R级 2011款 R 300 L 商务型(进口),奔驰(进口),2014-01,6.74,自动,3.0L,28.55,64.90,北京,2011款,MPV,0,245马力,汽油,5157,1922,1674,,前置后驱
奥迪Q5 2013款 40 TFSI 技术型,一汽-大众奥迪,2013-05,4.95,自动,2.0T,21.17,46.40,北京,2013款,中型,1,211马力,汽油,4629,1898,1655,,前置四驱
别克GL8 2014款 2.4L 经典版,上汽通用别克,2015-04,7.74,自动,2.4L,11.06,22.70,北京,2014款,MPV,0,167马力,汽油,5213,1847,1750,,前置前驱
英菲尼迪G系列 2013款 G25 Sedan 豪华运动版(进口),英菲尼迪(进口),2014-04,7.87,自动,2.5L,16.07,40.80,北京,2013款,中型,0,235马力,汽油,4780,1773,1453,,前置后驱
别克GL8 2013款 2.4L CT豪华商务舒适版,上汽通用别克,2014-08,7.1,自动,2.4L,16.15,31.50,北京,2013款,MPV,0,186马力,汽油,5256,1878,1772,,前置前驱
奥迪A6L 2016款 TFSI 技术型,一汽-大众奥迪,2016-05,5.92,自动,1.8T,25.67,45.10,北京,2016款,中大型,0,190马力,汽油,5036,1874,1466,,前置前驱
大众CC 2012款 2.0TSI 至尊型,一汽-大众,2012-07,9.28,自动,2.0T,12.94,32.90,北京,2012款,中型,0,200马力,汽油,4799,1855,1417,,前置前驱
马自达 阿特兹 2015款 2.5L 蓝天至尊版,一汽马自达,2016-06,2.74,自动,2.5L,14.38,26.00,北京,2015款,中型,0,192马力,汽油,4870,1840,1450,,前置前驱
