num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe
0413,7,85.5,118,98.5,64.4,46.75,45,45.5,45.5,48.5,56
0022,1,81,118,108,67.9,45.25,45.5,44,45,47,52
0092,2,86.5,106,111,67.9,45.25,43,46,45.5,46.5,56
0542,9,86.5,120,102,67.9,44.75,40.5,47,43,46,56
0053,1,95,105,110,63.7,45.75,44,46.5,40,47.5,56
0603,10,88,119,101,64.4,44.5,47.5,43,46.5,47.5,52
0610,10,96.5,113,109,60.2,42.75,43,43.5,47.5,45.5,52
0212,4,84,113,105.5,64.4,46,47.5,46.5,40,50,56
0224,4,87,111,107,65.8,40.75,45.5,48,44,47.5,56
0093,2,94,104,102,62.3,47.5,48.5,46.5,44,47.5,56
0052,1,88,111,110.5,60.9,44.25,44,46,40.5,47,60
0014,1,86,118,102,65.1,46.5,45,46.5,43,48,52
0209,4,93.5,102,105,60.9,45,44.5,44.5,48,48.5,60
0301,5,89,108,107,65.1,44.75,44.5,45.5,45.5,46.5,56
0450,8,82.5,113,108.5,68.6,45,46.5,46,40,45.5,56
0257,5,92,112,101.5,65.8,45.75,41.5,45.5,43.5,48,56
0558,9,89,108,109.5,63,47,49,47,40.5,46.5,52
0120,2,82.5,119,108,63.7,39.75,46,47,44.5,48.5,52
0141,3,87,112,102.5,65.8,46.5,45,44,44,44,60
0409,7,89,114,104.5,62.3,43.25,43.5,47,43,48,56
0429,7,96.5,110,98,68.6,43.25,45.5,45.5,43.5,47.5,52
0206,4,82.5,119,93.5,67.9,44,45.5,45,43.5,49,60
0042,1,85,105,110,67.9,43.25,47.5,47,45,47,52
0016,1,87.5,117,104.5,64.4,41.25,46,46,40.5,46.5,56
0084,2,95.5,101,108.5,62.3,42.25,46.5,49,46.5,46,52
0451,8,86.5,115,104.5,69.3,43.25,41.5,44,41.5,47.5,56
0392,7,80,120,106,67.9,42,41.5,46,39.5,45.5,60
0645,4,96,112,109,59.5,40.75,40,45,38,48,60
0366,6,95,114,101.5,58.8,43.75,49,44.5,44,44.5,52
0589,10,72.5,117,108,63.7,46.75,38,48,46,47,60
0223,4,87,115,103.5,66.5,38.75,47,44.5,41.5,47,56
0205,4,94,120,97,59.5,40.75,42.5,44.5,41.5,46.5,60
0570,9,86.5,120,96,65.8,47.25,45,47,41.5,49,48
0593,10,92.5,111,95,69.3,45.25,43.5,47.5,43.5,46,52
0628,10,94,113,94.4,62.3,38.25,45,49,46.5,46.5,56
0233,4,102.5,110,96,60.9,42,49,44,43.5,49,48
0368,6,88.5,103,110,62.3,42.5,43.5,46,43,45.5,60
0307,5,85.5,112,96.5,69.3,46.5,49,45.5,43,45,52
0561,9,81,111,107.5,63.7,39.75,46,44.5,43.5,47,60
0534,9,90.5,108,104,63.7,48.25,45.5,45.5,40,46.5,52
0067,2,78,117,106,61.6,43.25,45,45,44.5,47.5,56
0658,5,89.5,100,103.5,67.9,44.75,44.5,46.5,44,47,56
0239,4,86,115,101,63.7,40.25,44,48.5,38,47,60
0389,7,81,118,99.5,66.5,40.25,45.5,47,41,48.5,56
0226,4,90.5,112,100.5,67.2,45.5,46,45,38.5,46,52
0562,9,98.5,102,106,65.1,42,45.5,45.5,40.5,46,52
0528,9,87.5,120,96.5,58.8,44.75,45,43.5,40.5,46.5,60
0569,9,89,113,102.5,64.4,43.5,43,44.5,41,46,56
0049,1,88.5,95,110,68.6,43.75,46,47.5,46.5,49,48
0501,8,88.5,114,105.5,58.8,42,46.5,42,43,46.5,56
0108,2,79.5,106,104,68.6,44.5,43,44,44.5,48.5,60
0163,3,93.5,109,108,58.1,37,47,47,40.5,46.5,56
0312,5,92.5,109,99,59.5,42,47,45,46,46.5,56
0134,3,84.5,116,96.5,60.2,47.25,44,48,43.5,46.5,56
0612,10,90.5,113,100,63.7,40,48,40.5,40.5,46,60
0629,10,94,110,98,59.5,45,47,44,44,48,52
0040,1,95.5,98,105.5,64.4,42,47,44,45.5,47.5,52
0296,5,103,106,109.5,53.9,31,46.5,45,39,47.5,60
0383,6,95.5,111,106.5,54.6,39.75,46,45,42.5,48.5,52
0024,1,85,112,93.5,69.3,43.5,44.5,46.5,44,47,56
0103,2,93,98,112.5,58.1,41.75,48,47.5,42,48,52
0304,5,90.5,114,89.5,65.8,40.75,45,46,41,48,60
0121,2,83.5,102,100.5,64.4,41.25,46.5,49,48.5,48,56
0382,6,95.5,115,104.5,57.4,42.25,46.5,43.5,42.5,44.5,48
