,Name,Sex,Age,Height,Weight
242,Mahmoud Abbas,M,22.0,165.0,65.0
243,Mohamed Fakhry Rifaat Abbas,M,19.0,,
244,Mohammed Abbas Sabih,M,26.0,170.0,70.0
245,Muhammad Abbas,M,23.0,168.0,55.0
246,Nader Sufyan Abbas,M,28.0,173.0,77.0
247,Sohail Abbas,M,25.0,178.0,80.0
250,Youssef Mohamed Abbas,M,31.0,,
251,Zulkifli Abbas,M,28.0,170.0,62.0
252,Forough Abbasi,F,20.0,164.0,58.0
253,Shakeel Abbasi,M,20.0,165.0,60.0
256,Soulmaz Abbasi Azad,F,28.0,173.0,60.0
257,Ruslan Abbasov,M,22.0,181.0,74.0
258,Tural Abbasov,M,18.0,182.0,76.0
259,Tran Abbasova,F,33.0,159.0,53.0
260,Simona Abbate,F,28.0,171.0,64.0
261,Franz Abb,M,,,
262,Christian Abbiati,M,23.0,192.0,90.0
263,Lois Abbingh,F,23.0,178.0,72.0
264,Alessandro Abbio,M,29.0,195.0,85.0
265,Giordano Giulio Abbondati,M,15.0,175.0,64.0
267,Salwan Jasim Abbood Abbood,M,24.0,180.0,104.0
268,"George ""Ioannis"" Abbot",M,,,
269,"William ""Bill"" Abbott Jr.",M,42.0,172.0,80.0
271,Clare Abbott,F,30.0,167.0,58.0
273,"David ""Dave"" Abbott",M,26.0,183.0,75.0
274,"Desmond ""Des"" Abbott",M,21.0,184.0,87.0
275,Geoffrey Grant Abbott,M,23.0,179.0,80.0
276,Jeremy Abbott,M,24.0,175.0,70.0
280,Joanne Abbott,F,41.0,160.0,57.0
281,"Kathryn ""Katie"" Abbott",F,21.0,164.0,63.0
282,Mara Katherine Abbott,F,30.0,163.0,52.0
283,Margaret Ives Abbott (-Dunne),F,23.0,,
284,Mary Perkins Ives Abbott (Perkins-),F,42.0,,
285,Matt Abbott,M,34.0,185.0,91.0
286,Monica Cecilia Abbott,F,23.0,191.0,88.0
287,Khadija Abbouda,F,40.0,165.0,57.0
288,Mohamed Ibrahim Abd El-Fatah Mohamed,M,22.0,185.0,98.0
291,Mahmoud Abd El-Kader,M,23.0,195.0,94.0
