,Name,Sex,Age,Height,Weight
6294,Veronica Ampudia Nio de Rivera,F,18.0,,
6296,Omar Amr,M,29.0,180.0,92.0
6297,Noureddine Amrabat,M,25.0,178.0,71.0
6298,Rafik Amrane,M,23.0,177.0,70.0
6299,Rolf Amrein,M,39.0,179.0,78.0
6301,Franz Albert Amrhein,M,29.0,,
6302,Marwa Al-Amri,F,19.0,160.0,58.0
6305,Anand Amritraj,M,36.0,185.0,77.0
6306,Vijay Amritraj,M,34.0,193.0,75.0
6308,Juraj Amel,M,23.0,,
6309,Iryna Vitalivna Amshennikova,F,18.0,174.0,58.0
6314,Mohamed Amsif,M,23.0,187.0,90.0
6315,Heinrich Amsinck,M,44.0,,
6316,Gaston Marcel Amson,M,36.0,,
6319,Gottlieb Amstein,M,21.0,,
6321,Ursula Amstein,F,20.0,172.0,58.0
6322,Arnold Amstutz,M,,,
6323,Abdul Karim Ohimai Amu,M,23.0,185.0,77.0
6328,"Daniel ""Dan"" Amuke",M,22.0,180.0,69.0
6330,"Erasmus Samuel A. O. ""Sam"" Amukun",M,19.0,169.0,64.0
6335,Gudmund Birger Amundin,M,32.0,,
6336,Gail Amundrud (-Beattie),F,19.0,183.0,70.0
6339,Arild Eigil Amundsen,M,50.0,177.0,95.0
6340,Arthur Martinius Amundsen,M,22.0,,
6342,Harald Amundsen,M,21.0,186.0,83.0
6344,Mauritz Amundsen,M,32.0,,
6350,Steinar Amundsen,M,23.0,195.0,88.0
6352,Tom Amundsen,M,29.0,190.0,85.0
6354,Emmanuel Amunike,M,25.0,176.0,70.0
6355,Oluwatobiloba Ayomide Amusan,F,19.0,,55.0
6356,Stanley Amuzie,M,20.0,171.0,85.0
6357,Mohamed Amyn,M,28.0,168.0,53.0
6358,"Francis ""Frank"" Amyot",M,31.0,188.0,84.0
6360,Hassan Amzile,M,28.0,183.0,64.0
6361,Vasilena Gerginova Amzina (Stefanova-),F,30.0,169.0,53.0
6363,An Ba-Ul,M,22.0,169.0,66.0
6364,An Byeong-Geun,M,22.0,172.0,78.0
6366,An Byeong-Gyun,M,21.0,178.0,64.0
6367,An Byeong-Hun,M,24.0,186.0,95.0
6370,An Byeong-Seok,M,,180.0,
6372,An Chang-Rim,M,22.0,170.0,73.0
6373,An Cheon-Yeong,M,24.0,163.0,57.0
6375,An Dae-Hyeon,M,25.0,166.0,67.0
6376,An Dal-Ho,M,21.0,183.0,75.0
6377,An Dandara,M,24.0,,
6378,An Deok-Gi,M,24.0,173.0,58.0
6380,An Gil-Wan,M,27.0,174.0,74.0
6381,An Gyeong-Ja,F,18.0,169.0,59.0
6382,An Hae-Eun,F,21.0,159.0,48.0
6383,An Han-Bong,M,23.0,163.0,62.0
6384,An Han-Yeong,M,28.0,165.0,57.0
6385,An Hui-Bong,M,23.0,188.0,100.0
6386,An Hyo-Ju,F,28.0,168.0,54.0
6387,An Jae-Hyeong,M,23.0,183.0,74.0
6388,An Jae-Song,M,26.0,161.0,63.0
6391,An Jae-Won,M,24.0,162.0,57.0
6392,An Jeong-Geun,M,39.0,174.0,72.0
6393,An Jeong-Hwa,F,27.0,162.0,62.0
6394,An Ji-Min,F,17.0,163.0,52.0
6395,An Jin-Su,M,22.0,185.0,83.0
6396,An Jong-Deuk,M,22.0,183.0,79.0
6397,An Kum-Ae,F,28.0,160.0,52.0
6399,An Myong-Hwa,F,17.0,,
6405,An Sang-Mi,F,18.0,155.0,48.0
6406,An Se-Hyeon,F,20.0,168.0,57.0
6408,An Se-Uk,M,28.0,168.0,69.0
6409,An Sen-Za,F,18.0,,
6410,An Seon-Mi,F,23.0,175.0,62.0
6411,An Seul-Ki,F,24.0,161.0,46.0
6412,An Su-Gyeong,F,17.0,160.0,65.0
6415,An U-Hyeok,M,24.0,178.0,74.0
6416,An Ung-Nam,M,28.0,183.0,93.0
6417,Viktor An,M,16.0,170.0,65.0
6427,An Weijiang,M,22.0,178.0,72.0
6429,An Yeong-Han,M,30.0,,
6430,An Yeong-Sik,M,,,
6431,An Yeong-Su,M,20.0,174.0,70.0
6432,An Yong-Gwon,M,21.0,188.0,138.0
6433,An Yulong,M,19.0,173.0,70.0
6437,An Zhongxin,F,23.0,170.0,65.0
6439,Ana Flvia Chritaro Daniel Sanglard,F,22.0,187.0,73.0
6441,Ana Lcia de Camargo Barros,F,22.0,176.0,71.0
6443,Ana Paula Rodrigues-Belo,F,20.0,172.0,67.0
6446,Ana Paula Rodrigues Connelly (-Rodrigues Henkel),F,20.0,183.0,68.0
6450,Phara Anacharsis,F,24.0,177.0,58.0
6454,Tnia Anacleto Grgorio,F,24.0,165.0,59.0
6455,Nikolaos Anagnostopoulos,M,,,
6457,Ioanna Anagnostopoulou,F,19.0,181.0,58.0
6458,Khrysoula Anagnostopoulou,F,24.0,175.0,85.0
6459,Gerasimos Anagnostou,M,,,
6460,Yasemin Ecem Anagz,F,17.0,165.0,66.0
6461,Takamasa Anai,M,27.0,187.0,100.0
6462,Jimmy Anak Ahar,M,22.0,173.0,65.0
6463,Galina Yakhorova Anakhrieva,F,21.0,185.0,84.0
6465,"Douglas Thomas ""Doug"" Anakin",M,33.0,,
6467,Tony Analau,M,27.0,,62.0
6468,Lolita Volodymyrivna Ananasova,F,24.0,169.0,52.0
6470,Zoya Sergeyevna Ananchenko,F,19.0,165.0,67.0
6472,Kandiah Anandarajah,M,25.0,,
6473,Anis Viktorovich Ananenko,M,26.0,176.0,65.0
6474,Borislav Ananiev,M,20.0,185.0,80.0
6477,Yekaterina Igorevna Ananina,F,18.0,172.0,62.0
6478,Lyudmila Arkadyevna Ananko,F,19.0,163.0,55.0
6482,Tatyana Vasilyevna Ananko,F,16.0,171.0,52.0
6483,Mohsen Muhammad Abdul Mohsen Anany Youssef Mustapha,M,23.0,187.0,113.0
6484,Akhmed Anarbayev,M,20.0,178.0,65.0
6485,Omar Anas,M,,184.0,82.0
6488,Yuliya Igorevna Anashkina,F,25.0,172.0,70.0
6489,Mikhailis Anastasakis,M,21.0,183.0,92.0
6490,Mircea Anastasescu,M,21.0,178.0,75.0
6493,"Lawrence Joseph ""Larry"" Anastasi",M,30.0,185.0,77.0
6497,Flavio Anastasia,M,23.0,188.0,81.0
6498,Georgios Anastasiadis,M,,,
6500,"Nikolaos ""Nikos"" Anastasiadis",M,21.0,,
6510,Katerina Anastasiou,F,25.0,,
6511,"Konstantinos ""Kostas"" Anastasiou",M,21.0,181.0,71.0
6512,Savina Aglaia Anastasiou,F,18.0,164.0,53.0
6513,Themistoklis Anastasoglou,M,,,
6514,Sotirios Anastasopoulos,M,,,
6516,Asya Anastasova,F,22.0,163.0,51.0
6517,Svetlana Anastasovski-Obuina,F,19.0,176.0,65.0
6520,Virginia Anchestegui Rabasa,F,15.0,168.0,55.0
6522,Xavier Anchetti,M,34.0,168.0,
6525,Anton Pavlovich Anchin,M,22.0,187.0,68.0
6526,Jos Andrs Anchondo Garca,M,25.0,185.0,75.0
6531,Rafael Domingo Anchundia Delgado,M,22.0,160.0,54.0
6532,Roger Anciaux,M,28.0,,
6533,Mario Ani,M,16.0,195.0,84.0
6536,Osvaldo A. Ancinas,M,25.0,,
6541,"Julius Theodoor ""Jules"" Ancion",M,27.0,,
6542,Zygmunt Jzef Anczok,M,26.0,178.0,77.0
6543,Kenneth Andam,M,24.0,172.0,79.0
6544,Christophe Andanson,M,23.0,187.0,90.0
6546,Leopoldo Jos Andara Gonzlez,M,22.0,179.0,66.0
6548,Martin Ande,M,20.0,170.0,57.0
6549,Anthony Andeh,M,19.0,175.0,57.0
6550,Olaf van Andel,M,24.0,193.0,90.0
6551,William Peter Andelfinger,M,23.0,168.0,
6554,Jan Andenne,M,,,
6555,Ragnhild Andens,F,22.0,174.0,60.0
6557,milie Andol,F,28.0,170.0,97.0
6558,Olle Henrik Martin Anderberg,M,28.0,,
6562,Angela Rosa Anderes,F,16.0,,
6563,Thomas Andergassen,M,24.0,166.0,62.0
6573,"Stefan ""Steve"" Anderhub",M,27.0,187.0,104.0
6576,Gnter Anderl,M,21.0,182.0,65.0
6578,Alois Anderle,M,30.0,,
6580,Nino Anderlini,M,25.0,,
6581,Bernd Anders,M,26.0,189.0,90.0
6582,"Elizabeth Rambo ""Beth"" Anders",F,32.0,174.0,73.0
6583,Birk Anders,M,20.0,185.0,75.0
6584,Helga-Beate Anders-Gummelt,F,24.0,169.0,53.0
6587,Aage Jrgen Christian Andersen,M,22.0,,
6588,Peter Johan Albert Antomius Andersen,M,29.0,,
6591,Alf Steen Andersen,M,21.0,,
6592,Anders Peter Andersen,M,26.0,,70.0
6594,Anders Jakob Hartington Andersen,M,25.0,164.0,51.0
6596,Anette Ree Andersen,F,24.0,,
6597,Anja Jul Andersen,F,27.0,178.0,
6598,Anne Dsane Andersen,F,23.0,183.0,86.0
6599,Anne Nymark Andersen (-Rylandsholm),F,23.0,168.0,56.0
6600,Anton Kristian Andersen,M,39.0,,
6604,Arne Johan Andersen,M,20.0,,
6605,Arne Andersen,M,28.0,185.0,82.0
6606,Axel Sigurd Andersen,M,20.0,,
6608,Benny Fomsgaard Andersen,M,29.0,,
6609,Bernhard Vilhelm Andersen,M,28.0,,
6610,Bjrn Andersen,M,29.0,175.0,71.0
6611,Brge Kaas Andersen (-Kaas-Andersen),M,23.0,186.0,83.0
6612,Camilla Rseler Andersen,F,23.0,169.0,65.0
6614,Carl Andersen,M,27.0,,
6615,Carl Albert Andersen,M,23.0,,
6620,Carl C. Andersen,M,,,
6621,Carl Rudolf Svend Andersen,M,20.0,,
6622,Carl-Ebbe Andersen,M,19.0,,
6623,Cato Hamre Andersen,M,24.0,183.0,80.0
6624,Cato Tom Andersen,M,20.0,180.0,86.0
6626,Jens Christian Ludvig Pedersen (Kristian) Andersen (Bt),M,23.0,,
6628,Christian Foget Andersen,M,25.0,,
6629,David Emil Andersen,M,24.0,211.0,102.0
6633,Dennis Dengs Andersen,M,26.0,175.0,70.0
6634,Erik Eloe Andersen,M,21.0,,
6635,Erik Thorvald Andersen,M,29.0,,
6636,Erling Norman Andersen,M,26.0,,
6637,Erling Andersen,M,23.0,182.0,65.0
6641,Espen Andersen,M,22.0,179.0,70.0
6642,Johan Frederik Kobberup Andersen,M,28.0,,
6643,Frida Andersn,F,26.0,164.0,67.0
6645,Frithjof Andersen,M,27.0,,
6646,Fritiof Normann Andersen,M,21.0,,
6648,Geir Andersen,M,19.0,175.0,75.0
6649,Georg Arnfinn Andersen,M,25.0,190.0,112.0
6650,Gjert Andersen,M,20.0,174.0,72.0
6652,"Greta Marie Andersen (-Sonnichsen, -Veress)",F,21.0,,
6658,Gunnar Tycho Langhof Andersen,M,21.0,168.0,
6659,Gunnar Andersen,M,22.0,,
6661,Hans Christian Andersen,M,38.0,,
6665,Henrik Andersen,M,25.0,,75.0
6666,Henrik Steen Andersen,M,23.0,193.0,95.0
6668,Henry Anders Peter Brask Andersen,M,23.0,,
6670,Herluf Juhl Andersen,M,40.0,177.0,
6671,Herman Viktor Gunder Andersen,M,19.0,,
6673,Hjalmar Johan Andersen,M,24.0,,
6679,Hjalmart Nrregaard Andersen (-Eering),M,22.0,,
6680,Ida Kathrine Andersen (-Berthet),F,24.0,168.0,57.0
6682,Inge Andersen (-Jensen),F,16.0,162.0,53.0
6683,Jens Jacob Andersen,M,36.0,,
6684,Jan Eli Andersen,M,30.0,,
6685,Jannik Madum Andersen,M,20.0,193.0,83.0
6686,Jens Christian Andersen,M,27.0,,
6687,Jette Andersen (-Ingstrup),F,19.0,167.0,54.0
6688,Jim Ronny Andersen,M,29.0,177.0,78.0
6689,Johan Vilhelm Andersen,M,32.0,,
6690,Einar Harry Johannes Andersen,M,23.0,168.0,53.0
6692,Jonas Solberg Andersen,M,28.0,184.0,85.0
6693,"Georg ""Jonny"" Andersen",M,24.0,,
6694,Judith Solveig Seitzberg Andersen (-Lyster),F,24.0,184.0,73.0
6695,Jrgen Marius Andersen,M,26.0,,
6697,Jrgen Wrnding Andersen,M,26.0,170.0,75.0
6699,Kaj Andersen,M,28.0,185.0,108.0
6700,"Karen Margrete Andersen (Friis-, -Jrgensen)",F,19.0,,
6701,Keld Jul Andersen,M,26.0,186.0,79.0
6702,Kjerstin Andersen,F,29.0,179.0,82.0
6703,Knud Erik Andersen,M,26.0,,
6706,Kristine Andersen,F,28.0,172.0,72.0
6707,Lars Hkon Bakkehaugen Andersen,M,20.0,181.0,95.0
6708,Leif Ragnar Andersen,M,16.0,,
6709,"Else Lilly ""Lilli"" Andersen (-Svanberg)",F,17.0,,
6711,Linda Widwey Andersen (-Cerup-Simonsen),F,23.0,169.0,64.0
6713,Mads Christian Kruse Andersen,M,30.0,187.0,75.0
6714,Peter Marius Andersen,M,23.0,,
6715,Mette Andersen,F,30.0,183.0,68.0
6716,Morgan Andersen,M,21.0,177.0,80.0
6719,Niels Andersen,M,40.0,,
6723,Nils Henry Andersen,M,22.0,178.0,70.0
6724,Nina Nymark Andersen (-Jakobsen),F,23.0,173.0,60.0
6725,Ove Andersen,M,28.0,178.0,70.0
6726,Peter Frank Andersen,M,22.0,,
6727,Peter Riis Andersen,M,24.0,176.0,67.0
6728,Peter Villemoes Andersen,M,28.0,,
6729,Petter Andersen,M,28.0,172.0,70.0
6733,"Paul Kuhlman ""Poul"" Andersen",M,30.0,173.0,73.0
6734,Poul Kappel Andersen,M,24.0,,
6735,Reidar Andersen,M,24.0,180.0,
6736,Hugo Ricardo Andersen,M,24.0,198.0,140.0
6737,Rolf-Peder Hermann Andersen,M,27.0,181.0,70.0
6738,Sigvard August Andersen,M,18.0,,
6742,Stine Myrhj Andersen,F,27.0,169.0,75.0
6743,Sren Andersen,M,22.0,,
6744,Sren Birkegaard Andersen,M,28.0,189.0,85.0
6745,Terje Andersen,M,23.0,180.0,75.0
6749,Thomas Wilkens Andersen,M,23.0,179.0,80.0
6750,Vagn Peter Michael Andersen,M,35.0,183.0,74.0
6752,Vigo Carl Andersen,M,21.0,,
6753,Villy Bkgaard Andersen,M,22.0,168.0,51.0
6754,"Gabriela ""Gaby"" Andersen-Schiess",F,39.0,165.0,56.0
6755,Grete Andersen-Waitz,F,18.0,172.0,53.0
6759,nderson Lus de Abreu Oliveira,M,20.0,176.0,77.0
6760,Anderson de Oliveira Rodrigues,M,30.0,190.0,95.0
6762,Alberto Anderson,M,,,
6763,Alyssa Jean Anderson,F,21.0,173.0,64.0
6764,Andrea Arlene Anderson (-Bolder),F,22.0,164.0,61.0
6765,Arthur Emilius David Anderson,M,25.0,,
6767,Beverly Marie Anderson (-Brockway),F,21.0,,
6769,"Robert James Gilbert ""Bob"" Anderson",M,29.0,,
6771,Brett Franklin Anderson,M,20.0,193.0,104.0
6772,Brian Anderson,M,25.0,169.0,63.0
6773,Charles Howard Anderson,M,33.0,,
6775,"Christopher Daniel ""Chris"" Anderson",M,28.0,189.0,74.0
6776,Clvis Anderson Jnior,M,25.0,172.0,76.0
6778,Colin Anderson,M,,,
6779,Craig Anthony Anderson,M,19.0,187.0,86.0
6781,Dale Irwin Anderson,M,19.0,172.0,57.0
6782,"David Rollo ""Dave"" Anderson",M,20.0,,
6784,"David ""Dave"" Anderson",M,22.0,184.0,79.0
6786,David Anderson,M,23.0,190.0,86.0
6787,David Lennon James Anderson,M,26.0,194.0,80.0
6788,Derrick Anderson,M,22.0,173.0,66.0
6789,Derrick John Anderson,M,28.0,180.0,75.0
6790,"Edwin Lamont ""Ed"" Anderson",M,25.0,173.0,
6792,Eduardo A. Anderson Igarzabal,M,18.0,174.0,64.0
6793,Edward Allan Anderson,M,60.0,166.0,63.0
6794,Gary Lee Anderson,M,25.0,183.0,77.0
6797,Gary John Anderson,M,20.0,181.0,75.0
6803,Gary Myers Anderson,M,19.0,193.0,88.0
6805,Gerald C. Anderson,M,,,
6806,Glenn Christopher Anderson,M,19.0,185.0,86.0
6807,Haley Danita Anderson,F,20.0,178.0,68.0
6809,Hershel Lee Anderson,M,35.0,183.0,86.0
6811,"Isaac J. ""Ike"" Anderson",M,30.0,168.0,62.0
6812,Jamie Louise Anderson,F,23.0,160.0,54.0
6813,Jasey-Jay Anderson,M,22.0,178.0,80.0
6820,Jenny-Lyn Anderson,F,19.0,162.0,
6821,"Jerome Herbert ""Jerry"" Anderson",M,32.0,169.0,70.0
6825,"Judith ""Jodi"" Anderson",F,26.0,168.0,57.0
6826,John Franklin Anderson,M,20.0,191.0,97.0
6828,John Anderson,M,21.0,185.0,86.0
6829,John Justin Anderson,M,28.0,,
6830,John Edward Anderson,M,33.0,183.0,89.0
6833,Jon Peter Anderson,M,22.0,187.0,72.0
6834,Juan Carlos Anderson Munz,M,23.0,,
6836,Julio Csar Anderson Quiroga,M,28.0,170.0,68.0
6837,Karl Walter Anderson,M,23.0,186.0,70.0
6838,Karl Ruben Anderson,M,22.0,173.0,78.0
6840,"Keturah ""Katie"" Anderson",F,20.0,163.0,63.0
6845,Kevin Anderson,M,22.0,200.0,86.0
6847,"Gerard Rupert Lawrence ""Laurie"" Anderson",M,23.0,,
6848,Lewis Robbins Anderson,M,21.0,183.0,59.0
6849,Lindsey Anderson (Olson-),F,23.0,163.0,52.0
6850,"Marcus ""Mark"" Anderson",M,16.0,,
6851,Marvin Anderson,M,26.0,175.0,69.0
6852,"Matthew John ""Matt"" Anderson",M,25.0,202.0,100.0
6854,"Matthew ""Matt"" Anderson",M,28.0,,
6855,Miller Altman Anderson,M,25.0,,
6857,Murray Anderson,M,27.0,,
6858,Norman Frederick Anderson,M,22.0,183.0,97.0
6859,Olanda Anderson,M,27.0,185.0,80.0
6860,Otto Kenneth Anderson,M,23.0,175.0,68.0
6861,Patrice Marie Anderson,F,32.0,173.0,68.0
6862,Paul Richard Anderson,M,33.0,183.0,86.0
6863,Paul Edward Anderson,M,24.0,178.0,141.0
6864,Roberto J. Anderson,M,,,
6865,Rose Anderson,F,24.0,178.0,75.0
6866,Ross Woods Anderson,M,19.0,,
6870,Samuel Aurelio Anderson Schweyer,M,22.0,171.0,78.0
6872,John Scott Anderson,M,30.0,187.0,72.0
6873,Scott Warren Anderson,M,24.0,,
6874,Shani Anderson,F,25.0,176.0,64.0
6876,"Stephen Eugene ""Steve"" Anderson",M,22.0,190.0,77.0
6877,"Timothy Donald ""Tim"" Anderson",M,26.0,,
6878,"Thomas James ""Tom"" Anderson",M,29.0,183.0,89.0
6880,"Osborne ""Ty"" Anderson",M,23.0,175.0,77.0
6881,Verne Ralph Anderson,M,22.0,,
6884,Warren Anderson,M,27.0,177.0,82.0
6886,Wayne Robert Anderson,M,19.0,175.0,70.0
6887,Wendell Richard Anderson,M,22.0,182.0,77.0
6888,"William ""Will"" Anderson",M,,,
6892,William Wallace Anderson,M,40.0,,
6893,William Harding Anderson,M,22.0,,
6894,William Davidson Anderson,M,,,
6896,"William Lloyd ""Willie"" Anderson, Jr.",M,21.0,200.0,86.0
6897,Lesley Anderson-Herweck,F,23.0,162.0,45.0
6898,Karen Linnea Anderson-Oldham,F,18.0,165.0,53.0
6900,Kate Suzanne Anderson-Richardson,F,22.0,168.0,51.0
6902,Eduards Andersons,M,22.0,,
6903,Carl Adolf Andersson,M,19.0,,
6905,Agneta Monica Andersson,F,19.0,172.0,68.0
6917,ke Ernst Andersson,M,26.0,,
6918,ke Gustav Andersson,M,29.0,,
6920,Albert Per Andersson,M,17.0,,
6923,Allan Ejvin Andersson,M,28.0,,
6924,ke Anders Andersson,M,23.0,177.0,72.0
6926,Sven Anders Andersson,M,23.0,181.0,76.0
6930,Anders Wilhelm Andersson,M,44.0,,
6932,Marion Anita Andersson (-Odell),F,17.0,,
6933,Anna Christina Andersson,F,20.0,169.0,63.0
6934,Karl Arvid Andersson (-Holtman),M,23.0,,
6935,Arvid Leander Andersson,M,30.0,,
6936,Olov Arvid Andersson,M,29.0,,63.5
6938,Ernst Axel Andersson,M,20.0,,
6939,Bengt Mikael Andersson,M,22.0,192.0,89.0
6941,Berndt Ingemar Andersson,M,20.0,183.0,79.0
6944,Birger Fredrik Wilhelm Andersson,M,26.0,170.0,72.0
6945,Bjarne Lennart Andersson,M,27.0,178.0,68.0
6947,Bjrn Erling Andersson,M,22.0,196.0,105.0
6948,Bo Viktor Andersson,M,21.0,178.0,78.0
6949,Carl Gustav Andersson (Gorthon-),M,24.0,,
6950,Carl Nicanor Andersson,M,35.0,,
6951,Carl-Georg Andersson,M,26.0,200.0,115.0
6952,Cecilia Christine Elisabeth Andersson,F,23.0,179.0,74.0
6953,Erik Cletus Thule Andersson,M,31.0,,
6954,Curt Ingvar Rafael Andersson,M,35.0,167.0,65.0
6956,David Erik Andersson,M,19.0,183.0,78.0
6958,Elsa Helena Andersson (-Cordes),F,17.0,,
6959,Per Johan Emil Andersson (-Martinsson),M,24.0,181.0,79.0
6960,Emilia Ingrid Maria Andersson,F,21.0,175.0,72.0
6962,Erik Peter Andersson,M,26.0,,
6963,Erik Tony Emanuel Andersson,M,19.0,192.0,88.0
6964,Klas Erik Andersson,M,16.0,,
6967,Eva Maria Andersson,F,15.0,167.0,63.0
6969,Frank ivind Stefan Andersson,M,20.0,186.0,93.0
6975,Gary Knut Emanuel Andersson,M,21.0,176.0,70.0
6976,Bengt Gran Andersson,M,24.0,198.0,106.0
6977,Bengt Thore Gran Andersson,M,20.0,180.0,75.0
6978,Erik Gsta Andersson,M,31.0,,
6980,Gte Erling Andersson,M,27.0,,
6981,Gunilla Victoria Andersson,F,22.0,169.0,69.0
6985,Gunilla Elisabeth Andersson (-Leinskld),F,20.0,166.0,59.0
6988,Gustaf Emil Andersson,M,38.0,,
6991,Fritz Gustaf Adolf Andersson (-Gabeling),M,24.0,,
6995,"Ernst Harold ""Harald"" Andersson",M,29.0,191.0,99.0
6996,Svensk Hjalmar Zakeus Andersson,M,22.0,172.0,63.0
6998,Karl Ingemar Andersson,M,20.0,,
7001,Inger Elisabeth Andersson (-Fogelstrm),F,18.0,171.0,66.0
7002,Elsa Ingrid Andersson (-Wallin),F,24.0,,
7003,Isabellah Moraa Andersson (Amoro-),F,31.0,170.0,55.0
7004,Jan Roland Andersson,M,29.0,180.0,72.0
7005,Arne Joakim Andersson,M,17.0,167.0,75.0
7008,Johan Hilarius Andersson (-Anbert),M,23.0,,
7009,"Johan Gottfrid ""John"" Andersson",M,36.0,,
7010,Jonas Lennart Andersson,M,25.0,179.0,80.0
7012,Jonas Carl Andersson,M,24.0,176.0,73.0
7014,Jonna Andersson,F,23.0,167.0,61.0
7015,Karl-Ivar Andersson,M,24.0,,
7017,Kent Brje Andersson,M,20.0,155.0,51.0
7020,Kim Verner Andersson,M,29.0,200.0,105.0
7022,Maria Kristina Andersson,F,22.0,165.0,56.0
7028,Lage Viktor Sigurd Andersson,M,32.0,,114.0
7029,Lars ke Andersson,M,32.0,190.0,80.0
7031,Lars Ivar Andersson,M,19.0,182.0,82.0
7035,Leif Bertel Andersson,M,27.0,187.0,80.0
7036,Bo Leif Andersson,M,22.0,183.0,71.0
7045,Leif Valter Andersson,M,26.0,175.0,85.0
7047,Lene Skov Andersson,F,28.0,,
7048,Bo Lennart Andersson,M,38.0,,
7050,Agne Lennart Andersson (-Agnred),M,22.0,179.0,69.0
7051,Lennart Andersson,M,26.0,,
7053,Lina Marie Andersson,F,20.0,158.0,58.0
7061,"Agneta Liselotte ""Lisa"" Andersson",F,22.0,167.0,49.0
7064,Lotten Katrin Andersson,F,14.0,167.0,53.0
7068,Per Magnus Andersson,M,26.0,180.0,80.0
7071,Malin Elisabeth Andersson,F,23.0,171.0,64.0
7074,Thord Markus Andersson,M,23.0,182.0,63.0
7075,"Martha Louise ""Mrta"" Andersson (-Ingemansson, -Karlsson)",F,23.0,,
7076,Jan Martin Andersson,M,35.0,188.0,73.0
7077,Erik Mattias Andersson,M,34.0,186.0,95.0
7079,Olof Mauritz Andersson,M,21.0,,73.0
7081,Lars Tomas Michael Andersson,M,25.0,189.0,71.0
7086,"Bo Mikael ""Michael"" Andersson",M,31.0,181.0,84.0
7087,Michael sten Andersson,M,29.0,182.0,76.0
7088,Bo Mikael Andersson,M,28.0,187.0,88.0
7089,Nils Adolf Andersson,M,21.0,,
7090,Nils Gustaf Andersson (-Eke),M,22.0,,
7092,"Anders Olof Antonius ""Olle"" Andersson",M,24.0,,
7093,Stig rjan Andersson,M,25.0,176.0,62.0
7095,Otto August Andersson,M,26.0,,
7096,Patrik Jonas Andersson,M,20.0,185.0,85.0
7097,Per Olof Andersson,M,21.0,186.0,85.0
7098,Per Gunnar Andersson (-Westberg),M,25.0,180.0,71.0
7100,Per-Arne Andersson,M,22.0,189.0,82.0
7101,Anna Pernilla Andersson (-Ribeiro Novais),F,28.0,165.0,57.0
7102,Anders Bengt Peter Andersson,M,26.0,183.0,83.0
7103,Bjrn-Peter Andersson,M,22.0,185.0,71.0
7104,Nils Peter Andersson,M,25.0,190.0,92.0
7106,Ramon Dean Andersson,M,29.0,188.0,95.0
7108,Stig Reine Andersson,M,31.0,183.0,85.0
7109,Robert Theodor Andersson,M,19.0,,
7120,Robert Andersson,M,22.0,191.0,83.0
7122,John Roland Andersson,M,27.0,179.0,88.0
7124,Erik Rune Gustav Andersson,M,41.0,170.0,75.0
7125,Rune Ivar Charles Andersson,M,22.0,,
7129,Selma Augusta Maria Andersson,F,17.0,,
7131,Karl Sigurd Andersson,M,25.0,,
7132,Stig Gustaf Emanuel Andersson,M,21.0,,
7134,Stig Viktor Andersson,M,27.0,,
7135,Carl Sture Mikael Andersson,M,30.0,173.0,77.0
7136,Sune Isidor Andersson,M,27.0,,
7137,Sven Tommy Andersson,M,24.0,193.0,90.0
7138,Sven Gustav Andersson,M,34.0,,
7140,Thure Elof Andersson,M,29.0,,
7141,Tord Gran Andersson,M,26.0,183.0,70.0
7143,Karl Volger Andersson,M,32.0,,
7145,"Kletus Vilhelm ""Wille"" Andersson",M,17.0,,
7151,Hans Lennart Andersson-Tvilling,M,23.0,,
7153,Stig Gunnar Andersson-Tvilling,M,23.0,,
7155,John Bowden Anderton,M,22.0,,
7157,"Ganpatrao Krishnaji ""Ganpat"" Andhalkar-Patil",M,29.0,183.0,97.0
7159,Jos Anda Aguilar,M,26.0,,
7162,Zacarias Sarrazola Andias,M,20.0,,
7163,Carlos Hernn Andica Andica,M,20.0,172.0,85.0
7165,Elizabeth Adhiambo Andiego,F,25.0,172.0,
7166,Carola Anding (-Jacob),F,19.0,168.0,53.0
7172,Roberto Andino,M,19.0,183.0,60.0
7173,Soslan Petrovich Andiyev,M,24.0,194.0,125.0
7175,Alain Andji,M,21.0,187.0,89.0
7176,Jakob Schitt Andkjr,M,23.0,201.0,85.0
7179,Sofia Elisabeth Andler (-Kvarnstrand),F,26.0,163.0,60.0
7180,Antonio Ando,M,,,
7181,Kazuaki Ando,M,31.0,170.0,60.0
7182,Kenkichi Ando,M,22.0,154.0,59.0
7184,Kozue Ando,F,22.0,164.0,57.0
7187,Masaya Ando,M,24.0,188.0,105.0
7188,Miki Ando,F,18.0,162.0,50.0
7190,Mikiko Ando,F,23.0,155.0,58.0
7191,Misako Ando,F,25.0,163.0,60.0
7193,Taro Ando,M,23.0,178.0,74.0
7194,Yasuhiro Ando,M,22.0,175.0,68.0
7195,Yuya Ando,M,26.0,183.0,89.0
7196,Jos Manuel Andoin Torralvo,M,34.0,165.0,75.0
7198,Barbara Andolina,F,25.0,173.0,110.0
7199,Atanas Vasilev Andonov,M,25.0,190.0,95.0
7200,Lyudmila Grudeva Andonova (Zhecheva-),F,28.0,177.0,60.0
7202,Malena Ivanova Andonova,F,23.0,169.0,57.0
7204,Joanne Andraca,F,20.0,172.0,58.0
7205,Pierre Andraca,M,17.0,183.0,79.0
7207,Manuel ngel Andrada,M,46.0,,
7208,Jorge Luiz Andrade da Silva,M,31.0,170.0,72.0
