Direction,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
南,有电梯,高楼层(共14层),中城绿苑,59,2室2厅,540.0,闵行,简装,85.65,1995.0
南,无电梯,高楼层(共6层),金龙花苑牡丹园,60,2室1厅,460.0,徐汇,简装,69.59,1995.0
南,无电梯,高楼层(共6层),万科朗润园,61,2室2厅,533.0,闵行,精装,91.72,1995.0
东南,有电梯,中楼层(共20层),大华锦绣华城(十六街区)(公寓),62,2室1厅,475.0,浦东,简装,70.57,1995.0
南北,无电梯,高楼层(共6层),锦绣苑,63,3室2厅,820.0,浦东,精装,130.21,1995.0
南,无电梯,中楼层(共5层),万科白马花园(公寓),64,3室2厅,312.0,松江,精装,88.29,1995.0
南北,无电梯,低楼层(共6层),金坤花园,65,3室2厅,650.0,闵行,精装,134.92,1995.0
南,有电梯,低楼层(共39层),静安豪景苑,66,2室2厅,1263.0,静安,精装,115.82,1995.0
南,无电梯,低楼层(共6层),东陆新村五街坊,67,2室1厅,415.0,浦东,毛坯,71,1995.0
南北,有电梯,中楼层(共11层),博学家园,68,2室1厅,465.0,浦东,毛坯,78.51,1995.0
东南,有电梯,中楼层(共35层),国信世纪海景,69,3室2厅,2206.0,浦东,精装,235.69,1995.0
南,无电梯,高楼层(共6层),鹏海小区,70,2室1厅,335.0,浦东,精装,72.66,1995.0
南,无电梯,高楼层(共6层),茂盛城市花园,71,2室1厅,490.0,闵行,简装,70.48,1995.0
南,有电梯,高楼层(共33层),汇翠花园,72,2室2厅,760.0,徐汇,毛坯,87.37,1995.0
南,无电梯,高楼层(共6层),广洋苑,73,2室2厅,700.0,浦东,精装,99.14,1995.0
南,有电梯,高楼层(共24层),新宏安大厦,74,2室2厅,830.0,静安,简装,107.97,1995.0
南,有电梯,高楼层(共21层),银杏家园,75,1室2厅,718.0,黄浦,简装,102.82,1995.0
南北,无电梯,中楼层(共6层),王家堂小区,76,2室1厅,396.0,徐汇,精装,44.2,1995.0
东南,有电梯,中楼层(共18层),真北二街坊,77,2室1厅,349.0,普陀,毛坯,73.52,1995.0
223.79平米,,3层2005年建板楼),万科蓝山,78,联排别墅,1180.0,浦东,南,3室2厅,
南北,有电梯,中楼层(共18层),好世皇马苑,79,3室2厅,565.0,嘉定,其他,140.08,1995.0
南,有电梯,高楼层(共17层),长桥一村,80,2室1厅,408.0,徐汇,简装,59.43,1995.0
南,有电梯,低楼层(共17层),中海馨园,81,3室2厅,1130.0,徐汇,简装,144.97,1995.0
南,无电梯,低楼层(共6层),广海花园,82,2室1厅,355.0,闵行,精装,67.17,1995.0
西北,有电梯,中楼层(共55层),世茂滨江花园,83,3室2厅,1770.0,浦东,精装,236.95,1995.0
南北,有电梯,低楼层(共16层),绿地海域笙晖(公寓),84,3室2厅,345.0,宝山,简装,94,1995.0
南,有电梯,低楼层(共14层),中环一号(一期),85,2室2厅,462.0,宝山,毛坯,97.39,1995.0
南,有电梯,低楼层(共19层),金桥爱建园,86,3室3厅,1250.0,浦东,精装,171.86,1995.0
南北,有电梯,高楼层(共8层),尚东国际名园,87,3室2厅,1230.0,浦东,毛坯,143.83,1995.0
南,有电梯,低楼层(共11层),上海绿城,88,4室2厅,1260.0,浦东,精装,147.31,1995.0
南,无电梯,中楼层(共5层),谨斜小区,89,1室1厅,220.0,徐汇,精装,34.62,1995.0
南,有电梯,高楼层(共20层),国际丽都城,90,5室3厅,4680.0,静安,精装,330.29,1995.0
南北,无电梯,中楼层(共4层),万科优诗美地,91,3室2厅,620.0,闵行,简装,120.37,1995.0
南,有电梯,高楼层(共26层),德安大厦,92,2室1厅,730.0,静安,简装,99.25,1995.0
南,有电梯,低楼层(共26层),仁恒河滨城(一期),93,3室2厅,1250.0,浦东,精装,131.08,1995.0
南,有电梯,低楼层(共31层),白金湾府邸,94,3室2厅,2600.0,虹口,精装,278.28,1995.0
