title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
别克 英朗 2015款 15N 自动精英型,上汽通用别克,2016-04,8.01,自动,1.5L,6.28,6.59,深圳,2015款,紧凑型,0,114马力,汽油,4587,1798,1463,,前置前驱
别克 君越 2012款 2.4L SIDI舒适版,上汽通用别克,2012-09,8.48,自动,2.4L,9.11,24.60,深圳,2012款,中型,0,186马力,汽油,5000,1858,1497,,前置前驱
现代 瑞纳 2014款 1.4L 自动智能型GLS,北京现代,2015-08,5.02,自动,1.4L,4.70,4.86,深圳,2014款,小型,0,107马力,汽油,4375,1700,1460,,前置前驱
别克 英朗 2015款 15N 自动精英型,上汽通用别克,2016-01,6.03,自动,1.5L,6.61,13.80,深圳,2015款,紧凑型,0,114马力,汽油,4587,1798,1463,,前置前驱
丰田 雷凌 2015款 1.6G CVT橙色限量版,广汽丰田,2015-05,4.7,自动,1.6L,7.65,8.07,深圳,2015款,紧凑型,0,122马力,汽油,4630,1775,1480,,前置前驱
马自达CX-5 2015款 2.0L 自动四驱豪华型,长安马自达,2015-10,9.31,自动,2.0L,11.72,22.80,深圳,2015款,紧凑型,1,155马力,汽油,4555,1840,1710,,前置四驱
日产 逍客 2016款 2.0L CVT豪华版,东风日产,2016-12,3.99,自动,2.0L,11.67,18.20,深圳,2016款,紧凑型,1,150马力,汽油,4384,1837,1612,,前置前驱
本田CR-V 2013款 2.4L 两驱豪华版,东风本田,2013-09,6.64,自动,2.4L,12.19,12.59,深圳,2013款,紧凑型,1,190马力,汽油,4550,1820,1685,,前置前驱
福特 福克斯 2018款 两厢 EcoBoost 180 自动精英型,长安福特,2018-06,1.32,自动,1.5T,9.73,9.85,深圳,2018款,紧凑型,0,181马力,汽油,4368,1823,1483,,前置前驱
日产 轩逸 2016款 1.6XL CVT豪华版,东风日产,2016-12,3.4,自动,1.6L,8.96,9.3,深圳,2016款,紧凑型,0,126马力,汽油,4631,1760,1503,,前置前驱
福特 福克斯 2013款 两厢经典 1.8L 手动基本型,长安福特,2013-04,5.03,手动,1.8L,4.50,10.80,深圳,2013款,紧凑型,0,124马力,汽油,4342,1840,1500,,前置前驱
别克 英朗 2015款 18T 双离合运动旗舰型,上汽通用别克,2015-11,6.28,自动,1.4T,7.92,17.40,深圳,2015款,紧凑型,0,144马力,汽油,4587,1798,1463,,前置前驱
现代 领动 2016款 1.6L 自动智炫·精英型,北京现代,2018-06,0.86,自动,1.6L,8.74,13.00,深圳,2016款,紧凑型,0,130马力,汽油,4610,1800,1450,,前置前驱
Jeep 自由客 2012款 2.4 运动版(进口),Jeep(进口),2012-11,9.07,自动,2.4L,9.80,26.70,深圳,2012款,紧凑型,1,170马力,汽油,4424,1808,1667,,前置四驱
丰田 卡罗拉 2014款 1.6L CVT GL,一汽丰田,2015-05,2.2,自动,1.6L,8.23,12.80,深圳,2014款,紧凑型,0,122马力,汽油,4630,1775,1480,,前置前驱
现代 索纳塔九 2015款 1.6T GLS智能型,北京现代,2016-09,4.82,自动,1.6T,11.42,11.69,深圳,2015款,中型,0,180马力,汽油,4855,1865,1485,,前置前驱
别克 凯越 2013款 1.5L 自动经典型,上汽通用别克,2013-10,8.03,自动,1.5L,4.38,11.10,深圳,2013款,紧凑型,0,113马力,汽油,4515,1725,1445,,前置前驱
起亚K3 2015款 1.6L 手动GL,东风悦达起亚,2015-02,6.68,手动,1.6L,4.90,11.20,深圳,2015款,紧凑型,0,128马力,汽油,4600,1780,1445,,前置前驱
本田 凌派 2016款 1.8L CVT豪华版,广汽本田,2018-01,2.48,自动,1.8L,10.28,14.60,深圳,2016款,紧凑型,0,136马力,汽油,4664,1750,1505,,前置前驱
大众 捷达 2015款 1.6L 手动舒适型,一汽-大众,2015-07,3.6,手动,1.6L,5.00,10.70,深圳,2015款,紧凑型,0,110马力,汽油,4487,1706,1470,,前置前驱
